State,Year,Population
NY,1900,7283000
NY,1901,7449000
NY,1902,7612000
NY,1903,7771000
NY,1904,7927000
NY,1905,8084000
NY,1906,8289000
NY,1907,8499000
NY,1908,8714000
NY,1909,8935000
NY,1910,9137000
NY,1911,9249000
NY,1912,9361000
NY,1913,9473000
NY,1914,9585000
NY,1915,9700000
NY,1916,9848000
NY,1917,9993000
NY,1918,9936000
NY,1919,10252000
NY,1920,10282000
NY,1921,10416000
NY,1922,10589000
NY,1923,10752000
NY,1924,10953000
NY,1925,11186000
NY,1926,11257000
NY,1927,11174000
NY,1928,11599000
NY,1929,12171000
NY,1930,12647000
NY,1931,12848000
NY,1932,13001000
NY,1933,13126000
NY,1934,13253000
NY,1935,13375000
NY,1936,13481000
NY,1937,13511000
NY,1938,13512000
NY,1939,13523000
NY,1940,13456000
NY,1941,13267000
NY,1942,13002000
NY,1943,12807000
NY,1944,12628000
NY,1945,12495000
NY,1946,13398000
NY,1947,13982000
NY,1948,14497000
NY,1949,14892000
NY,1950,14865000
NY,1951,14890000
NY,1952,15192000
NY,1953,15527000
NY,1954,15814000
NY,1955,15966000
NY,1956,16112000
NY,1957,16374000
NY,1958,16601000
NY,1959,16685000
NY,1960,16838000
NY,1961,17061000
NY,1962,17301000
NY,1963,17461000
NY,1964,17589000
NY,1965,17734000
NY,1966,17843000
NY,1967,17935000
NY,1968,18051000
NY,1969,18105000
NY,1970,18241391
NY,1971,18357982
NY,1972,18339400
NY,1973,18177063
NY,1974,18049775
NY,1975,18003485
NY,1976,17940541
NY,1977,17812602
NY,1978,17680589
NY,1979,17583838
NY,1980,17566754
NY,1981,17567734
NY,1982,17589738
NY,1983,17686905
NY,1984,17745684
NY,1985,17791672
NY,1986,17833419
NY,1987,17868848
NY,1988,17941309
NY,1989,17983086
NY,1990,18002855
NY,1991,18029532
NY,1992,18082032
NY,1993,18140894
NY,1994,18156652
NY,1995,18150928
NY,1996,18143805
NY,1997,18143184
NY,1998,18159175
NY,1999,18196601
NY,2000,19001780
NY,2001,19082838
NY,2002,19137800
NY,2003,19175939
NY,2004,19171567
NY,2005,19132610
NY,2006,19104631
NY,2007,19132335
NY,2008,19212436
NY,2009,19307066
NY,2010,19399878
NY,2011,19499241
NY,2012,19572932
NY,2013,19624447
NY,2014,19651049
NY,2015,19654666
NY,2016,19633428
NY,2017,19589572
NY,2018,19530351
NY,2019,19453561
