Neighborhood,Year,Number_of_Native_Citizens
Greenpoint_and_Williamsburg,2005,96837
Greenpoint_and_Williamsburg,2006,100321
Greenpoint_and_Williamsburg,2007,102813
Greenpoint_and_Williamsburg,2008,112977
Greenpoint_and_Williamsburg,2009,103558
Greenpoint_and_Williamsburg,2010,108454
Greenpoint_and_Williamsburg,2011,109415
Greenpoint_and_Williamsburg,2012,112075
Greenpoint_and_Williamsburg,2013,117007
Greenpoint_and_Williamsburg,2014,120353
Greenpoint_and_Williamsburg,2015,122923
Greenpoint_and_Williamsburg,2016,130400
Greenpoint_and_Williamsburg,2017,114207
Greenpoint_and_Williamsburg,2018,129879
Greenpoint_and_Williamsburg,2019,134664
