Neighborhood,Year,White_Individuals_in_Poverty
Greenpoint_and_Williamsburg,2006,17000
Greenpoint_and_Williamsburg,2007,18739
Greenpoint_and_Williamsburg,2008,29858
Greenpoint_and_Williamsburg,2009,27294
Greenpoint_and_Williamsburg,2010,27888
Greenpoint_and_Williamsburg,2011,27332
Greenpoint_and_Williamsburg,2012,29576
Greenpoint_and_Williamsburg,2013,22984
Greenpoint_and_Williamsburg,2014,20082
Greenpoint_and_Williamsburg,2016,21286
Greenpoint_and_Williamsburg,2017,17209
Greenpoint_and_Williamsburg,2018,22725
Greenpoint_and_Williamsburg,2019,23593
